,unique_key,date,arrest,domestic,community_area,longitude,latitude,year
209,2723,2004-05-26 02:44:00+00:00,True,False,,-87.639681609,41.898912391,2004
210,1105,2001-09-26 10:00:00+00:00,True,True,,-87.610547492,41.77061404,2001
211,911,2001-07-02 02:46:00+00:00,False,False,,-87.59478342,41.755038698,2001
212,977,2001-07-28 15:50:00+00:00,True,False,,-87.667984156,41.806752043,2001
213,19547,2010-08-15 02:27:00+00:00,True,True,1.0,-87.665699202,42.004189109,2010
214,20985,2013-07-14 16:10:00+00:00,False,False,1.0,-87.671181992,42.019371503,2013
215,21332,2014-04-15 03:07:00+00:00,False,False,1.0,-87.670721657,42.020820517,2014
216,21476,2014-07-12 15:58:00+00:00,True,False,1.0,-87.665114952,41.998140264,2014
217,24318,2018-11-30 00:04:00+00:00,False,False,1.0,-87.671240738,42.021158303,2018
218,24208,2018-10-01 22:21:00+00:00,False,False,1.0,-87.660576357,42.0092085,2018
219,3394,2005-10-16 18:36:00+00:00,True,True,1.0,-87.659393242,42.005562771,2005
220,676,2001-02-01 00:10:00+00:00,False,False,1.0,-87.672249127,42.019380398,2001
221,22257,2015-08-19 01:39:00+00:00,False,False,1.0,-87.660438231,42.008000249,2015
222,1788,2002-09-29 03:00:00+00:00,True,False,1.0,-87.67951392,42.017915454,2002
223,21133,2012-09-02 12:45:00+00:00,True,False,1.0,-87.681638499,42.018517536,2012
224,2314,2003-08-03 10:32:00+00:00,False,False,1.0,-87.673740809,42.011425365,2003
225,1753,2002-09-11 22:26:00+00:00,True,False,1.0,-87.67122617,42.006597588,2002
226,20192,2011-12-05 18:30:00+00:00,True,True,1.0,-87.666762834,42.021777267,2011
227,21924,2015-06-13 16:45:00+00:00,True,False,1.0,-87.670721771,42.020809541,2015
228,23975,2018-06-05 06:31:00+00:00,True,False,1.0,-87.67382751,42.012649769,2018
229,4343,2007-11-29 03:48:00+00:00,True,False,1.0,-87.680843336,42.006663634,2007
230,20258,2012-01-23 00:30:00+00:00,False,False,1.0,-87.666418834,42.0205349,2012
231,4096,2007-06-02 17:56:00+00:00,False,False,1.0,-87.674841238,42.011404241,2007
232,1612,2002-07-13 19:44:00+00:00,False,False,1.0,-87.674973363,42.014648623,2002
233,2714,2004-05-18 00:50:00+00:00,True,False,1.0,-87.671911967,42.019954734,2004
234,19117,2009-10-07 21:30:00+00:00,False,False,2.0,-87.692692016,41.992246538,2009
235,21708,2014-12-27 05:12:00+00:00,False,False,2.0,-87.691952769,41.985637132,2014
236,19278,2010-02-24 10:30:00+00:00,False,False,2.0,-87.683587594,41.993336951,2010
237,20572,2012-08-16 08:56:00+00:00,True,True,2.0,-87.703252182,42.014711289,2012
